"DATE","CATEGORY","PUZZLE","L1","L2","L3","L4","L5","WIN"
2013-04-23,"Phrase","JUST A HUNCH","D","J","C","A",NA,"No"
2013-04-24,"Phrase","TOUGH TO KNOW","H","G","P","O",NA,"Yes"
2013-04-25,"Thing","YUMMY BUFFET","C","K","M","A",NA,"No"
2013-04-26,"Phrase","DON'T THINK TWICE","H","K","D","I",NA,"Yes"
2013-04-29,"What Are You Doing?","HOWLING WITH LAUGHTER","H","C","D","A",NA,"Yes"
2013-04-30,"What Are You Doing?","WAVING GOODBYE","C","P","F","A",NA,"No"
2014-04-01,"Phrase","WORKS WONDERS","C","D","M","O",NA,"No"
2014-04-02,"Occupation","OPTICIAN","C","H","G","I",NA,"No"
2014-04-03,"Thing","PSYCHOLOGY","H","P","B","O",NA,"Yes"
2014-04-04,"Thing","BLOG POST","B","C","M","A",NA,"No"
2014-04-07,"People","OVERACHIEVERS","D","C","M","A",NA,"No"
2014-04-08,"Event","PUBLIC APOLOGY","D","C","M","A",NA,"No"
2014-04-09,"Things","NOUNS AND PRONOUNS","H","P","D","A",NA,"No"
2014-04-10,"Phrase","HAVING AN IMPACT","D","H","G","O",NA,"No"
2014-04-11,"Person","TOP DRAFT PICK","H","M","D","I",NA,"No"
2014-04-14,"Person","WEALTHY WOMAN","C","D","P","A",NA,"No"
2014-04-15,"Living Thing","NEWBORN PUPPY","C","P","M","O",NA,"Yes"
2014-04-16,"Things","HOURS OF OPERATION","C","D","M","A",NA,"No"
2014-04-17,"Thing","BREEZY DAY","C","M","G","O",NA,"No"
2014-04-18,"Phrase","DOWNRIGHT HILARIOUS","M","B","P","I",NA,"No"
2014-04-21,"Phrase","SCOOT OVER","C","D","H","O",NA,"Yes"
2014-04-22,"Thing","HOBBYHORSE","C","M","D","O",NA,"No"
2014-04-23,"Phrase","DIVERSE BACKGROUNDS","D","C","M","A","G","Yes"
2014-04-24,"People","QUALIFIED APPLICANTS","C","M","P","A",NA,"No"
2014-04-25,"Person","BEAUTY PAGEANT JUDGE","C","D","M","O",NA,"No"
2014-04-28,"Person","A SOPHOMORE","M","P","D","O",NA,"Yes"
2014-04-29,"Phrase","WEIGHING MY OPTIONS","F","G","P","O",NA,"No"
2014-04-30,"Phrase","HIT THE SACK","H","P","G","O",NA,"No"
2015-04-01,"Thing","FLOWING GOWN","G","H","F","A",NA,"Yes"
2015-04-02,"Phrase","WITHOUT A DOUBT","C","P","M","A",NA,"No"
2015-04-03,"Things","ZODIAC SYMBOLS","H","M","P","A",NA,"No"
2015-04-06,"Thing","BUG ZAPPER","D","M","H","A",NA,"No"
2015-04-07,"Phrase","A VERY FIRM HOLD","D","P","C","O","M","No"
2015-04-08,"Thing","TOUGH QUIZ","H","C","D","A",NA,"No"
2015-04-09,"Phrase","WAY BEHIND","D","B","K","I",NA,"No"
2015-04-10,"Thing","ULTIMATE GUIDEBOOK","D","H","M","O",NA,"No"
2015-04-13,"Person","AVIATOR","M","P","D","I",NA,"No"
2015-04-14,"Thing","RICH FLAVOR","C","G","F","O",NA,"Yes"
2015-04-15,"Thing","POKER FACE","G","M","D","I",NA,"No"
2015-04-16,"Phrase","FIGURE OUT HOW","P","H","G","O","D","No"
2015-04-17,"Phrase","A WHIFF OF PERFUME","P","H","G","O",NA,"No"
2015-04-20,"Thing","AUTOPILOT","H","D","C","O","G","No"
2015-04-21,"Thing","THOROUGH OVERHAUL","H","G","M","A",NA,"Yes"
2015-04-22,"Things","HIGH-TECH GADGETS","D","H","B","A","M","Yes"
2015-04-23,"Thing","FOOD PACKAGING","M","C","D","A",NA,"No"
2015-04-24,"Person","BUILDING OWNER","G","C","D","I",NA,"No"
2015-04-27,"Things","A FEW CHOICES","C","D","M","A","H","No"
2015-04-28,"Thing","WISP OF HAIR","M","P","K","O",NA,"Yes"
2015-04-29,"Phrase","ZIPPING BY","C","D","M","A",NA,"No"
2015-04-30,"Thing","PROVEN VALUE","G","M","D","I",NA,"No"
2007-05-01,"Thing","VIEWPOINT","C","H","M","O","D","No"
2007-05-02,"Thing","AUTOGRAPH","H","M","P","O",NA,"Yes"
2007-05-03,"Thing","HUSKY VOICE","H","D","P","A",NA,"No"
2007-05-04,"Show Biz","RADIO JINGLE","C","D","G","I",NA,"Yes"
2007-05-07,"Person","HIGH BIDDER","M","P","D","O",NA,"No"
2007-05-08,"Event","JURY DUTY","C","D","M","A",NA,"No"
2007-05-09,"Phrase","WAY OF LIFE","M","K","P","I",NA,"No"
2007-05-10,"Phrase","DAWN TO DUSK","C","M","P","O",NA,"No"
2007-05-11,"Thing","HOT GOSSIP","G","H","M","O",NA,"Yes"
2007-05-14,"Thing","PHOTO EXHIBIT","H","D","M","A",NA,"No"
2007-05-15,"Living Thing","MIGHTY OAK","D","M","G","O",NA,"No"
2007-05-16,"Food & Drink","CHILI POWDER","B","D","M","A",NA,"No"
2007-05-17,"Phrase","COME WHAT MAY","C","H","M","A",NA,"Yes"
2007-05-18,"Phrase","I'M BAFFLED","M","H","C","I",NA,"No"
2007-05-21,"People","PARTYGOERS","C","B","P","A",NA,"No"
2007-05-22,"Thing","WASHABLE WOOL","P","C","M","A",NA,"No"
2007-05-23,"Things","BYLAWS","P","G","C","A",NA,"No"
2007-05-24,"Thing","MUTUAL FUND","C","D","M","A",NA,"No"
2007-05-25,"Thing","A QUICK SMOOCH","D","M","C","O",NA,"No"
2007-05-28,"Things","LOFTY GOALS","G","M","C","I",NA,"No"
2007-05-29,"Phrase","A FAIR VALUE","C","P","H","O",NA,"No"
2007-05-30,"Proper Name","HUGH JACKMAN","D","M","C","A","B","Yes"
2007-05-31,"Phrase","KICK THE HABIT","H","D","P","A","C","No"
2008-05-01,"Thing","PARTY FAVOR","D","C","P","A",NA,"No"
2008-05-02,"Fictional Character","JEDI KNIGHT","B","D","M","O",NA,"Yes"
2008-05-05,"Phrase","FILLED WITH JOY","W","D","F","I",NA,"No"
2008-05-06,"Things","OPINIONS & ADVICE","C","D","M","A",NA,"No"
2008-05-07,"Phrase","I FORGIVE YOU","B","D","M","A",NA,"No"
2008-05-08,"Thing","PORCH SWING","I","C","M","H",NA,"Yes"
2008-05-09,"Phrase","MAKE IT A HABIT","G","H","C","A","D","Yes"
2008-05-12,"Thing","BIRTHDAY WISH","G","H","F","O",NA,"No"
2008-05-13,"Phrase","JOIN NOW","C","D","M","A",NA,"No"
2008-05-14,"Thing","DIALOGUE","H","C","M","O",NA,"No"
2008-05-15,"Phrase","PROOF POSITIVE","P","D","M","O","F","Yes"
2008-05-16,"Thing","BRAKE FLUID","C","D","M","A",NA,"No"
2008-05-19,"Person","NATIVE OF CHICAGO","C","H","D","A","M","Yes"
2008-05-20,"Phrase","I WON'T BUDGE","C","D","M","A",NA,"No"
2008-05-21,"Phrase","SOUNDS YUMMY","D","M","C","A",NA,"No"
2008-05-22,"Phrase","ORDER BY FAX","G","K","D","O",NA,"No"
2008-05-23,"Thing","SAFARI JACKET","C","D","M","A",NA,"No"
2008-05-26,"Thing","FOAM PACKAGING","G","C","M","A",NA,"Yes"
2008-05-27,"Thing","VINYL ALBUM","C","M","F","I",NA,"No"
2008-05-28,"Thing","MOSQUITO BITE","H","M","K","A",NA,"No"
2008-05-29,"Phrase","KICK OFF YOUR SHOES","Y","C","G","A",NA,"No"
2008-05-30,"Phrase","IT GROWS ON YOU","C","H","M","A","D","No"
2009-05-01,"Thing","KARAOKE MACHINE","B","C","D","O",NA,"No"
2009-05-04,"Phrase","HOLY COW","B","D","M","A",NA,"No"
2009-05-05,"Thing","KEYHOLE","C","P","H","O","G","Yes"
2009-05-06,"Phrase","A WINK AND A NOD","D","C","M","A",NA,"Yes"
2009-05-07,"Occupation","BIG-LEAGUE UMPIRE","C","P","M","A",NA,"Yes"
2009-05-08,"Show Biz","MEDIA BLITZ","M","F","D","I",NA,"No"
2009-05-11,"Event","EPIC JOURNEY","D","M","H","O",NA,"No"
2009-05-12,"Thing","BANQUET TABLE","B","D","C","A",NA,"Yes"
2009-05-13,"Person","OVERACHIEVER","D","H","M","A",NA,"No"
2009-05-14,"Thing","GOOSE BUMPS","D","P","M","A","C","No"
2009-05-15,"Show Biz","SMOOTH JAZZ","C","M","G","A",NA,"No"
2009-05-18,"Phrase","A WIDE VARIETY","C","M","Y","I","G","No"
2009-05-19,"Phrase","OUT OF BOUNDS","C","B","D","O",NA,"Yes"
2009-05-20,"Thing","SOLEMN VOW","M","G","C","A",NA,"Yes"
2009-05-21,"Phrase","SQUEAKY CLEAN","C","M","P","A",NA,"Yes"
2009-05-22,"Place","BAGGAGE CLAIM","C","M","P","O",NA,"Yes"
2009-05-25,"Living Thing","GIANT SQUID","D","C","M","A",NA,"Yes"
2009-05-26,"Thing","FANCY FOOTWORK","C","P","M","A",NA,"No"
2009-05-27,"Thing","DIRECT QUOTE","D","H","M","A",NA,"No"
2009-05-28,"Phrase","COURT IS ADJOURNED","D","M","F","A",NA,"No"
2009-05-29,"Thing","LOW WHISPER","P","B","H","I",NA,"Yes"
2010-05-03,"Phrase","THROW A BASH","M","D","C","O","H","Yes"
2010-05-04,"Thing","NIGHTGOWN","D","C","M","I",NA,"No"
2010-05-05,"Thing","FAIR WEATHER","M","C","D","O",NA,"No"
2010-05-06,"Thing","PATIO COVER","P","M","H","I","G","No"
2010-05-07,"Thing","PREVIOUS PAGE","D","M","P","I",NA,"No"
2010-05-10,"Thing","BOOK OF POEMS","D","F","H","O",NA,"Yes"
2010-05-11,"Phrase","KNOCK ON WOOD","C","P","B","I",NA,"No"
2010-05-12,"Place","HOBBY SHOP","D","P","C","O",NA,"No"
2010-05-13,"Thing","BROAD APPEAL","C","M","P","I","D","Yes"
2010-05-14,"Phrase","VOICE OF EXPERIENCE","C","P","D","O",NA,"Yes"
2010-05-17,"Person","FAITHFUL SIDEKICK","D","C","M","A",NA,"No"
2010-05-18,"Thing","SOFTWARE UPDATE","C","K","P","O",NA,"No"
2010-05-19,"Things","PREFIX AND SUFFIX","C","P","D","O",NA,"No"
2010-05-20,"Thing","RISKY MANEUVER","C","M","P","A",NA,"No"
2010-05-21,"Place","BEHIND THE PODIUM","C","K","W","O",NA,"No"
2010-05-24,"Thing","CURIOSITY","D","P","M","A","G","No"
2010-05-25,"Event","BLOWING A FUSE","G","D","F","U","B","Yes"
2010-05-26,"Thing","OFF-THE-CUFF REMARK","C","D","P","I",NA,"No"
2010-05-27,"Thing","FLEXIBLE SCHEDULE","P","M","B","A",NA,"No"
2010-05-28,"Things","HIKING BOOTS","C","D","M","A",NA,"No"
2010-05-31,"Thing","FRIENDLY WAGER","B","D","H","I",NA,"No"
2011-05-02,"Rhyme Time","TOUGH STUFF","C","M","P","O",NA,"Yes"
2011-05-03,"Phrase","WITHIN YOUR GRASP","P","M","C","O",NA,"No"
2011-05-04,"Show Biz","MEDIA HYPE","H","M","D","A",NA,"Yes"
2011-05-05,"Thing","A GOOD VIBE","M","P","F","A",NA,"No"
2011-05-06,"Thing","BOBBY PIN","M","D","H","A",NA,"No"
2011-05-09,"Thing","BACK POCKET","H","D","C","A",NA,"Yes"
2011-05-10,"Thing","PHOTO EXHIBIT","C","D","M","A","H","No"
2011-05-11,"Thing","INGENIOUS DEVICE","C","D","P","A",NA,"Yes"
2011-05-12,"Thing","FOCAL POINT","H","C","M","A",NA,"Yes"
2011-05-13,"Things","QUALIFICATIONS","D","P","C","I",NA,"No"
2011-05-16,"Thing","SQUARE FOOTAGE","C","D","M","A",NA,"Yes"
2011-05-17,"Thing","TRAVEL VOUCHER","H","G","B","O",NA,"Yes"
2011-05-18,"Thing","BRIGHT OUTLOOK","M","H","D","O",NA,"Yes"
2011-05-19,"Thing","HOT TOPIC","H","B","C","O",NA,"Yes"
2011-05-20,"Thing","BOLD TYPEFACE","H","D","Y","A",NA,"Yes"
2011-05-23,"Things","WOOL GLOVES","D","F","M","O",NA,"No"
2011-05-24,"Thing","DAILY BLOG","C","M","P","I","D","No"
2011-05-25,"Thing","BLACK GOWN","M","B","C","O",NA,"No"
2011-05-26,"Phrase","QUITE A JOLT","D","C","F","A","H","No"
2011-05-27,"Thing","UNUSUAL HOBBY","D","H","C","A",NA,"No"
2011-05-30,"Thing","PHONE JACK","C","D","P","O",NA,"No"
2011-05-31,"Phrase","PIPING HOT","C","H","P","O",NA,"Yes"
2012-05-01,"Thing","SHORT PAUSE","M","C","P","A",NA,"No"
2012-05-02,"Phrase","WAVE THE FLAG","D","C","M","I",NA,"No"
2012-05-03,"Thing","BUBBLE WRAP","D","G","P","A",NA,"No"
2012-05-04,"Things","BOWS AND RIBBONS","F","D","M","I",NA,"Yes"
2012-05-07,"Person","COMPUTER WHIZ","H","C","P","O",NA,"No"
2012-05-08,"Place","JOGGING PATH","C","D","M","I",NA,"No"
2012-05-09,"Phrase","SECOND EFFORT","C","D","M","O",NA,"Yes"
2012-05-10,"Thing","BOOKMARK","C","D","M","A","P","No"
2012-05-11,"Phrase","FIGURE IT OUT","C","H","P","I",NA,"Yes"
2012-05-14,"Person","VARSITY COACH","C","H","Y","A",NA,"Yes"
2012-05-15,"Thing","MAGIC WAND","D","C","M","A","G","No"
2012-05-16,"Thing","A BRISK PACE","C","M","B","O",NA,"Yes"
2012-05-17,"Things","HOPES AND AMBITIONS","C","D","M","A",NA,"No"
2012-05-18,"Thing","CLIPBOARD","C","D","M","A",NA,"No"
2012-05-21,"Thing","TEMPERATURE GAUGE","C","P","D","A",NA,"Yes"
2012-05-22,"Phrase","FOR WHAT IT'S WORTH","D","B","C","O","H","Yes"
2012-05-23,"Thing","SHARP CURVE","H","D","M","O",NA,"No"
2012-05-24,"Thing","PAPERWORK","C","H","M","O",NA,"No"
2012-05-25,"Person","BLOGGER","B","H","P","U",NA,"Yes"
2012-05-28,"Phrase","PROVE IT","D","P","C","I",NA,"Yes"
2012-05-29,"Thing","TWO-PART FINALE","B","D","G","I",NA,"No"
2012-05-30,"Thing","BALMY WEATHER","C","D","M","A",NA,"No"
2012-05-31,"Event","MAIDEN VOYAGE","D","H","M","I","P","Yes"
2013-05-01,"Thing","YOUTHFUL COMPLEXION","P","C","M","A",NA,"No"
2013-05-02,"Things","PUDGY CHEEKS","D","F","G","O",NA,"No"
2013-05-03,"Phrase","FIZZLE OUT","M","C","H","O",NA,"No"
2013-05-06,"Place","JUNIOR HIGH","C","D","H","O",NA,"Yes"
2013-05-07,"Thing","DOWN PARKA","D","H","M","O",NA,"No"
2013-05-08,"Thing","FUNKY MUSIC","D","H","G","I",NA,"No"
2013-05-09,"Thing","AVOCADO PIT","M","D","H","A",NA,"No"
2013-05-10,"Phrase","ZIP UP YOUR JACKET","D","Y","C","O",NA,"No"
2013-05-13,"Thing","HALFWAY POINT","G","C","F","O",NA,"No"
2013-05-14,"Thing","WORLDWIDE HIT","P","G","M","A",NA,"No"
2013-05-15,"What Are You Doing?","JOKING AROUND","G","M","C","O",NA,"No"
2013-05-16,"Occupation","VIDEOGRAPHER","A","C","B","M",NA,"No"
2013-05-17,"Thing","GUIDEBOOK","D","M","C","A",NA,"No"
2013-05-20,"Thing","GLAMOROUS GOWN","D","M","H","O",NA,"No"
2013-05-21,"Thing","ROWING MACHINE","G","D","C","I","B","No"
2013-05-22,"Thing","LIGHT DRIZZLE","P","B","C","O",NA,"No"
2013-05-23,"Person","FINICKY BABY","C","H","M","O",NA,"No"
2013-05-24,"Place","GUARDHOUSE","H","C","D","O",NA,"No"
2013-05-27,"People","HOME VIEWERS","C","M","P","O",NA,"Yes"
2013-05-28,"Phrase","GOOD QUALITY","H","Y","G","O",NA,"Yes"
2013-05-29,"Person","WILDLY HAPPY GUY","C","D","H","O",NA,"No"
2013-05-30,"Thing","TOUGH WORKOUT","M","P","C","A","G","Yes"
2013-05-31,"Thing","AUTOBIOGRAPHY","C","H","M","I",NA,"No"
2014-05-01,"Thing","VALIANT EFFORT","V","F","Z","O",NA,"Yes"
2014-05-02,"Thing","BIKE PUMP","M","C","P","A",NA,"No"
2014-05-05,"Thing","RAPID GROWTH","D","M","C","A",NA,"No"
2014-05-06,"Thing","KANGAROO POUCH","C","G","P","O",NA,"Yes"
2014-05-07,"Phrase","BARELY ENOUGH","C","P","M","A",NA,"Yes"
2014-05-08,"Place","PRIVATE HIDEAWAY","P","D","M","A",NA,"Yes"
2014-05-09,"Phrase","PAY A VISIT","P","M","D","A",NA,"Yes"
2014-05-12,"Phrase","STAY AFLOAT","Y","M","P","A",NA,"No"
2014-05-13,"Thing","VIVID IMAGINATION","D","H","B","O",NA,"No"
2014-05-14,"Food & Drink","CAKE ICING","M","D","B","I",NA,"No"
2014-05-15,"Thing","HEAVENLY BODY","Y","C","H","A","D","Yes"
2014-05-16,"Person","TIGHTROPE WALKER","H","G","C","A",NA,"Yes"
2014-05-19,"Thing","UNSOLICITED ADVICE","D","H","C","U",NA,"Yes"
2014-05-20,"Fun & Games","BACKYARD SWING SET","D","Y","C","O",NA,"Yes"
2014-05-21,"Phrase","STATE OF EUPHORIA","C","F","P","O",NA,"Yes"
2014-05-22,"Phrase","DON'T QUIBBLE","G","H","D","A",NA,"No"
2014-05-23,"Phrase","GOING OVERBOARD","H","M","P","A",NA,"No"
2014-05-26,"Thing","UNANIMOUS VOTE","D","G","H","O",NA,"No"
2014-05-27,"Phrase","MIX IT UP","M","B","H","I",NA,"Yes"
2014-05-28,"Thing","BABY GRAND","P","C","G","I",NA,"No"
2014-05-29,"People","PICNICKERS","M","B","G","A",NA,"No"
2014-05-30,"Phrase","FIND YOUR GROOVE","G","F","M","I",NA,"No"
2015-05-01,"Phrase","OVER YONDER","D","B","G","O",NA,"Yes"
2015-05-04,"People","YOUNG CROWD","P","M","G","I",NA,"No"
2015-05-05,"Phrase","WIGGLE AROUND","B","D","G","I",NA,"No"
2015-05-06,"Phrase","WHAT TO AVOID","M","D","P","O",NA,"No"
2015-05-07,"Phrase","WAVE YOUR MAGIC WAND","M","D","Y","A",NA,"Yes"
2015-05-08,"Thing","PATIO UMBRELLA","G","D","M","O",NA,"Yes"
2015-05-11,"Thing","BANDWIDTH","H","C","P","A",NA,"Yes"
2015-05-12,"Phrase","AWFULLY KIND","D","M","P","A",NA,"No"
2015-05-13,"Phrase","PHASED OUT","P","M","D","A","C","Yes"
2015-05-14,"Person","POWERFUL TYCOON","C","D","P","A",NA,"No"
2015-05-15,"Thing","HOURLY FORECAST","D","M","C","O",NA,"No"
2015-05-18,"Phrase","GO VIRAL","M","D","C","I","G","No"
2015-05-19,"Phrase","APPLY FOR A JOB","D","M","P","A",NA,"No"
2015-05-20,"Phrase","DIVE RIGHT IN","C","M","D","O",NA,"No"
2015-05-21,"Phrase","ZOOM OUT","P","H","G","O",NA,"No"
2015-05-22,"Thing","OVERHEAD LIGHT","G","P","B","I",NA,"No"
2015-05-25,"Phrase","SWOOPING DOWN","D","P","M","I",NA,"No"
2015-05-26,"Phrase","WHAT A BUSYBODY","C","D","H","A",NA,"No"
2015-05-27,"Thing","AN OLD MYTH","D","M","W","O",NA,"No"
2015-05-28,"Thing","STRIPED AWNING","G","D","P","I",NA,"Yes"
2015-05-29,"Thing","GLOBAL MAP","H","D","F","U",NA,"No"
2007-06-01,"Phrase","BUMPER CROP","M","D","B","A",NA,"No"
2007-06-04,"Phrase","I WONDER WHY","C","D","P","A",NA,"No"
2007-06-05,"Things","WIPER BLADES","B","P","D","O",NA,"No"
2007-06-06,"Event","HOUSING BOOM","G","C","D","A",NA,"No"
2007-06-07,"Person","TRIVIA BUFF","C","J","G","A",NA,"No"
2007-06-08,"Phrase","BREAK IT OFF","B","H","M","I",NA,"Yes"
2008-06-02,"People","TWIN BOYS","M","D","P","O",NA,"No"
2008-06-03,"Thing","DIVING MASK","H","D","M","I","C","No"
2008-06-04,"Thing","OFFICIAL FAN CLUB","C","A","M","P",NA,"No"
2008-06-05,"People","IOWANS","M","H","C","A",NA,"No"
2008-06-06,"Phrase","I MADE A VOW","M","D","C","I","B","Yes"
2010-06-01,"Person","JAZZ MUSICIAN","C","K","M","I",NA,"No"
2010-06-02,"Phrase","A SHOW OF HANDS","D","K","P","O","F","No"
2010-06-03,"Thing","PUNCTUATION MARK","C","D","P","O",NA,"Yes"
2010-06-04,"Person","SAVVY SHOPPER","C","P","H","I",NA,"Yes"
2010-06-07,"Phrase","DOUBLE WHAMMY","D","H","M","I","C","Yes"
2010-06-08,"Things","BANJO STRINGS","C","D","P","I",NA,"No"
2010-06-09,"Thing","WINDOW DISPLAY","C","M","P","I",NA,"Yes"
2010-06-10,"Thing","BOOMERANG","C","P","M","A",NA,"Yes"
2010-06-11,"Thing","FAR-FETCHED IDEA","D","P","G","A",NA,"No"
2011-06-01,"Phrase","LOOKS YUMMY","D","H","M","O","C","No"
2011-06-02,"Phrase","AT THE BUZZER","C","D","H","A",NA,"No"
2011-06-03,"Phrase","FILL THE VOID","P","M","D","O",NA,"Yes"
2011-06-06,"Thing","PAID INVOICE","H","D","M","I",NA,"No"
2011-06-07,"Thing","AWKWARD PHASE","H","M","C","O",NA,"No"
2011-06-08,"Thing","HUGE EGO","M","D","H","O",NA,"No"
2011-06-09,"Thing","WEB VIDEO","B","C","D","I",NA,"No"
2011-06-10,"Phrase","I'M HOPEFUL","M","C","H","I",NA,"No"
2012-06-01,"Phrase","WAY BACK WHEN","P","M","H","O",NA,"No"
2012-06-04,"Phrase","WHAT A BARGAIN","C","D","M","I",NA,"No"
2012-06-05,"Phrase","IN A HURRY","H","Y","C","A",NA,"Yes"
2012-06-06,"Phrase","QUITE A COMPLIMENT","H","M","D","A",NA,"No"
2012-06-07,"Person","FAMOUS AUTHOR","C","D","P","O",NA,"Yes"
2012-06-08,"Thing","VALID EXCUSE","B","G","H","O",NA,"No"
2012-06-11,"Person","ORIGINAL OWNER","C","F","D","O",NA,"Yes"
2012-06-12,"Things","KHAKI SHORTS","P","M","D","O",NA,"No"
2012-06-13,"Living Thing","WATCHDOG","P","M","D","A",NA,"No"
2012-06-14,"Phrase","MY BIG CHANCE","D","C","M","O",NA,"No"
2012-06-15,"Phrase","KICK UP YOUR HEELS","C","M","H","A",NA,"No"
2013-06-03,"Thing","BIKINI TOP","P","G","C","I",NA,"Yes"
2013-06-04,"Thing","LUXURY YACHT","C","M","D","A",NA,"Yes"
2013-06-05,"What Are You Doing?","THE LIMBO","O","C","K","M",NA,"Yes"
2013-06-06,"Things","PUFFY CLOUDS","C","M","P","A",NA,"No"
2013-06-07,"Living Thing","YOUNG CUB","M","C","P","O",NA,"No"
2013-06-10,"What Are You Doing?","QUILTING","P","G","C","I",NA,"No"
2013-06-11,"Thing","COMPLETE OVERHAUL","M","D","C","O","H","Yes"
2013-06-12,"Thing","BOOK CLUB","C","B","M","U",NA,"Yes"
2013-06-13,"What Are You Doing?","WORKING THE ROOM","D","G","P","O",NA,"Yes"
2013-06-14,"Thing","HEAVY MACHINERY","C","G","H","A",NA,"Yes"
2014-06-02,"Thing","HIRING PROCESS","P","M","D","A",NA,"No"
2014-06-03,"Phrase","AMONG FRIENDS","D","F","C","O",NA,"No"
2014-06-04,"Thing","DOG BOWL","G","C","D","A",NA,"Yes"
2014-06-05,"Place","BUSY BOULEVARD","C","D","M","A",NA,"No"
2014-06-06,"Person","YOUR BIGGEST FAN","Y","H","G","O",NA,"Yes"
2014-06-09,"Thing","ALL-OUT BLITZ","H","C","D","O",NA,"No"
2014-06-10,"Phrase","POINT AND CLICK","C","D","M","O",NA,"Yes"
2014-06-11,"Thing","DIGITAL DOWNLOAD","C","H","Y","O",NA,"No"
2014-06-12,"Event","JOYOUS OCCASION","C","D","M","O",NA,"Yes"
2014-06-13,"Phrase","FULLY GROWN","D","M","P","O",NA,"No"
2015-06-01,"People","ADVISORY BOARD","D","P","C","O",NA,"Yes"
2015-06-02,"Thing","WORLDWIDE PHENOMENON","C","D","M","A",NA,"Yes"
2015-06-03,"Phrase","WITHIN THE HOUR","H","M","Y","O",NA,"Yes"
2015-06-04,"Phrase","PROPER USAGE","P","G","C","U",NA,"Yes"
2015-06-05,"Person","HIGHEST BIDDER","P","C","B","I",NA,"Yes"
2015-06-08,"Thing","OBVIOUS ANSWER","G","H","C","A","M","No"
2015-06-09,"Fun & Games","BUMPER POOL","D","F","M","O",NA,"Yes"
2015-06-10,"Thing","PROBABILITY","P","H","G","O",NA,"Yes"
2015-06-11,"Phrase","DABBLE IN THE KITCHEN","C","M","P","A",NA,"No"
2015-06-12,"Phrase","TOO MUCH HYPE","H","G","P","O",NA,"Yes"
2009-07-13,"Place","BIKE PATH","D","C","F","A",NA,"No"
2009-07-14,"Thing","SAFETY VALVE","H","B","W","I",NA,"No"
2009-07-15,"Thing","LIP BALM","P","B","M","A",NA,"Yes"
2009-07-16,"Thing","LIQUID SOAP","C","M","G","I",NA,"No"
2009-07-17,"Person","UNDERDOG","F","C","K","I","P","No"
2007-09-10,"In the Kitchen","MIXING BOWL","C","D","P","A",NA,"No"
2007-09-11,"Phrase","PURE HOGWASH","W","D","P","I",NA,"No"
2007-09-12,"Place","PAVILION","C","G","P","A",NA,"Yes"
2007-09-13,"Show Biz","COMEDY DUO","C","M","P","A","D","No"
2007-09-14,"Phrase","DO YOUR JOB","C","M","P","A",NA,"No"
2007-09-17,"Thing","SCRAPBOOK","M","P","F","A",NA,"Yes"
2007-09-18,"Phrase","OUT OF FAVOR","D","F","H","O",NA,"No"
2007-09-19,"Things","HOME VIDEOS","C","M","D","A",NA,"No"
2007-09-20,"Phrase","FINISH UP","H","C","M","I",NA,"Yes"
2007-09-21,"On the Map","BANGOR","G","D","M","A",NA,"Yes"
2007-09-24,"Phrase","NOW I KNOW","C","D","P","O",NA,"Yes"
2007-09-25,"On the Map","HILO HAWAII","D","C","M","A",NA,"No"
2007-09-26,"In the Kitchen","CLING WRAP","D","C","B","A",NA,"No"
2007-09-27,"Things","GIGABYTES","D","H","C","A",NA,"No"
2007-09-28,"Thing","HALF-MOON","C","H","P","A",NA,"Yes"
2008-09-08,"Food & Drink","HOT COCOA MIX","M","B","D","A",NA,"No"
2008-09-09,"Thing","STOPWATCH","H","G","D","I",NA,"No"
2008-09-10,"Things","BIG DREAMS","P","M","G","O",NA,"Yes"
2008-09-11,"Person","HISTORY BUFF","C","M","D","I",NA,"Yes"
2008-09-12,"Phrase","YOU MADE ME BLUSH","F","B","H","A",NA,"Yes"
2008-09-15,"Show Biz","POLICE DRAMA","C","D","M","A",NA,"Yes"
2008-09-16,"Thing","A BRISK PACE","H","C","F","A",NA,"No"
2008-09-17,"Person","FISHING BUDDY","H","G","M","I",NA,"No"
2008-09-18,"Thing","JUKEBOX","C","D","P","O",NA,"No"
2008-09-19,"Things","COMPOUND WORDS","C","F","P","O",NA,"Yes"
2008-09-22,"Phrase","LOADS OF FUN","M","D","H","O",NA,"Yes"
2008-09-23,"Fun & Games","KNOCK-KNOCK JOKE","P","M","C","A","H","No"
2008-09-24,"Around the House","BUNK BEDS","D","F","C","O",NA,"Yes"
2008-09-25,"Thing","PURE GENIUS","P","D","C","A",NA,"No"
2008-09-26,"Fun & Games","AEROBICS CLASS","H","F","M","O",NA,"No"
2008-09-29,"Place","MUSEUM WING","H","D","P","I",NA,"No"
2008-09-30,"Thing","COAT OF VARNISH","C","H","D","A",NA,"Yes"
2009-09-14,"Thing","FIGURE EIGHT","C","M","P","O","H","Yes"
2009-09-15,"Occupation","TV ANCHOR","C","Y","M","O","G","Yes"
2009-09-16,"Thing","GLIMMER OF HOPE","B","M","P","O",NA,"No"
2009-09-17,"Thing","TOUGH JOB","C","G","H","O",NA,"Yes"
2009-09-18,"Thing","SHAVING KIT","G","C","M","A",NA,"No"
2009-09-21,"Thing","PARQUET FLOOR","B","C","D","A",NA,"No"
2009-09-22,"Thing","COWBOY HAT","H","M","D","A",NA,"No"
